Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDU35,OUT018,1477.2461675887316
NCT29,OUT013,1852.9452746972781
FDZ27,OUT046,737.2808450842066
FDN57,OUT017,2112.1760414938267
FDA03,OUT018,2468.463793759729
FDZ36,OUT045,3040.095780952797
NCU05,OUT013,1198.6217469269404
FDT39,OUT018,2843.7715537621298
FDK60,OUT017,1134.0419057319539
FDZ25,OUT017,2330.6133442579617
FDG12,OUT046,1705.8451775465724
DRB01,OUT019,1337.322239866665
NCC43,OUT027,5258.254260370544
FDX13,OUT019,2424.833858000332
FDM22,OUT049,975.0724246329771
FDJ03,OUT027,2352.243287947481
FDU14,OUT018,4099.719284572986
FDB33,OUT010,1015.2681577733375
FDP27,OUT046,3249.4751819383846
FDO38,OUT010,-504.8577757159254
FDE28,OUT027,4952.812438917086
FDO27,OUT035,1391.6254121258812
DRL23,OUT027,3281.8866363896495
FDS28,OUT046,1172.9443683354255
FDX24,OUT013,1220.7171811229914
FDZ02,OUT035,1558.0154109355426
FDL46,OUT045,1908.0019147789765
FDS60,OUT027,4342.341286019315
NCO06,OUT017,385.89705061207013
FDO16,OUT035,1338.301667582931
FDC60,OUT049,1589.6182563416946
FDA48,OUT018,3580.70375182132
FDZ36,OUT027,4381.318415459281
FDK27,OUT045,2066.8972440238495
FDW23,OUT018,917.6447263411917
FDM14,OUT018,1949.1548872104722
FDM14,OUT013,1552.4196310657796
FDW60,OUT018,3062.896807361388
FDE21,OUT013,1736.145702796178
NCM42,OUT035,1703.9452795100476
FDY59,OUT010,-448.54921967544703
DRI49,OUT049,1222.6126166928564
FDT28,OUT019,985.9579947790816
FDQ22,OUT018,839.0653836535657
FDR60,OUT049,1152.5963078528634
FDC50,OUT019,-88.36856427384942
FDV24,OUT013,1905.9478491795692
DRF48,OUT010,2187.0058038958373
FDQ47,OUT046,880.9026369599101
DRN36,OUT049,1528.4258928170707
NCY06,OUT035,1966.0882987733712
FDE52,OUT035,1130.1218263094781
NCB54,OUT045,2127.570074047917
NCF31,OUT035,2363.8582849549275
FDJ08,OUT027,4464.500327298313
NCC07,OUT017,1666.8855421282806
NCD19,OUT027,1778.2339132430036
FDL46,OUT049,1860.8028237273493
FDM20,OUT045,3781.6567694336973
NCI06,OUT010,1275.9820340313765
DRM11,OUT035,3999.2510116985677
NCH07,OUT018,2821.583852937394
FDS23,OUT013,1912.9353544192222
FDO49,OUT018,1004.0466467719406
FDS35,OUT049,998.6210670346703
DRK39,OUT045,1102.2164769124795
DRI39,OUT049,1037.8209030435737
FDV04,OUT017,2369.6347499639032
NCN14,OUT035,2731.0572741792585
FDH08,OUT013,3651.7407939024206
FDS20,OUT046,2990.7465567732006
FDV40,OUT049,955.9458587494481
FDZ48,OUT010,-58.21514549949865
FDS24,OUT027,2961.0579253803435
FDK44,OUT049,2629.962468126666
FDS48,OUT045,2395.3260334627867
FDK26,OUT010,1254.2311573571285
FDD23,OUT045,3030.9740783068446
NCH54,OUT017,2514.3369205996178
NCP14,OUT010,-87.0751185141134
FDM60,OUT010,-1322.0396015501144
FDV24,OUT017,1875.4027545801348
FDH08,OUT018,3984.25438620132
FDS12,OUT027,3527.0871417568524
FDR39,OUT027,4215.5186010149755
FDP12,OUT027,2078.3777735973254
DRF60,OUT027,4935.147153329812
FDC09,OUT035,1667.0647394181283
FDF50,OUT018,2741.826815888613
FDG28,OUT035,3538.602209047668
NCE19,OUT017,841.6630633051581
NCM53,OUT010,1.2665782448906953
NCN18,OUT049,1714.2664791499944
FDF32,OUT035,2691.1803145632684
FDF11,OUT013,3588.74447379751
DRI59,OUT049,3350.5881669248065
NCG54,OUT035,2484.2239668414904
FDM44,OUT046,1927.5273754447849
FDT57,OUT018,4005.074945435834
FDV24,OUT046,2199.7241754175066
FDI50,OUT019,1998.326323618693
FDS09,OUT035,833.6177200914478
NCC31,OUT027,3928.655957951273
FDQ07,OUT019,2059.888134318647
FDC22,OUT017,2861.540555629953
FDZ56,OUT046,2980.974877491204
FDZ40,OUT019,-360.35987886934845
FDS46,OUT027,3454.2939189358513
DRD24,OUT045,2464.801579148635
FDV45,OUT017,2876.8672900440934
FDL26,OUT045,2379.497626475578
FDA56,OUT018,2264.6187190362066
FDN27,OUT046,1734.1385519852045
FDM20,OUT049,3747.2923680491904
FDO16,OUT017,1252.6908044953984
FDL03,OUT035,2927.4688795225456
FDE58,OUT046,1449.4070471292127
FDI02,OUT027,3193.4448337395715
NCC55,OUT019,-1395.6267174355012
FDR03,OUT018,3272.7602666917637
FDB14,OUT017,1218.3592725290089
FDR45,OUT013,3545.4557646239837
NCN07,OUT017,2031.6701762544487
FDM51,OUT019,61.02853557213666
FDT52,OUT027,5425.827943687444
FDL26,OUT046,2462.32759239161
NCZ42,OUT046,3841.3073797992774
DRI47,OUT019,1116.461261647778
FDW40,OUT013,2112.4684699056957
FDN34,OUT046,2834.879692239294
FDS01,OUT035,2738.609670552569
NCG55,OUT045,1624.28843389486
FDC11,OUT035,1161.6330640947458
FDX35,OUT018,3830.506379156738
NCB06,OUT046,2706.0273990268097
FDR09,OUT019,2772.92286486367
FDC53,OUT017,1556.8445192710901
FDY45,OUT013,3818.431592328374
FDA22,OUT010,643.8850499494035
FDE02,OUT035,1374.1672083814667
FDW21,OUT045,1516.6492701040156
FDV34,OUT046,1486.5268936415398
FDS59,OUT049,1970.6749943846778
NCW17,OUT017,1951.1832637073258
NCK54,OUT046,754.7287411217949
FDG17,OUT019,2529.18233367001
FDG35,OUT017,2598.319044837627
FDD08,OUT010,-908.8950747021997
NCO07,OUT017,3246.470669483352
FDJ10,OUT010,651.158242324599
FDW36,OUT017,1554.6306475698993
FDW21,OUT010,880.1527412929213
FDY19,OUT017,1762.1070540142457
DRE03,OUT013,730.6830305472324
NCC55,OUT049,360.0671153854
FDH52,OUT010,-679.1501814786332
FDO09,OUT017,3877.702316063489
FDU43,OUT045,3757.7268345377843
FDX09,OUT010,1179.7427532252495
FDH40,OUT019,94.39497004380178
FDW58,OUT017,1425.9085423037043
FDC47,OUT017,3486.384259815799
NCR41,OUT035,1142.627193723224
DRG49,OUT035,3898.722096508938
FDC52,OUT027,3857.226687365389
FDY13,OUT046,1440.0283390373816
FDY35,OUT013,796.6701880423445
FDI35,OUT017,2650.553302246247
NCU18,OUT049,2397.6597966530007
FDY33,OUT018,2647.84992793767
FDC15,OUT027,3893.891046048596
FDU01,OUT049,3001.309491473742
NCU42,OUT046,2800.0429285134815
NCV29,OUT018,3046.089023108165
NCY30,OUT017,2782.7246041795315
FDQ46,OUT049,1733.289012214799
FDG58,OUT027,3808.031156446522
FDK33,OUT017,3348.2029154467555
NCD07,OUT045,1320.5087492492999
NCX29,OUT027,3842.9752490121364
NCT42,OUT013,2284.3429297453176
DRN59,OUT035,402.2244179100864
FDI44,OUT035,1068.4112093174062
FDA45,OUT049,2483.507106265354
FDP31,OUT045,1025.6655041664271
FDY01,OUT046,1903.1402089567393
FDT09,OUT018,2419.3023268526595
DRH03,OUT027,2951.0846524467934
FDA36,OUT018,3269.1527559430415
NCF31,OUT017,2318.47184877607
FDG14,OUT049,2436.1014602365494
FDG28,OUT027,5128.118779717171
FDU14,OUT049,3856.261639999615
FDY47,OUT019,650.687052361164
FDI56,OUT049,1594.2487134089602
DRD01,OUT013,924.888933214203
FDM22,OUT046,1060.0590112425118
FDH33,OUT013,405.05791900654043
DRZ24,OUT013,1417.0069268774441
NCQ38,OUT046,1915.712714980982
FDO16,OUT027,2892.1988375932387
FDU07,OUT027,3874.1895012030773
NCB07,OUT013,2933.5653036711847
FDU48,OUT045,2272.580719924742
NCM43,OUT045,2809.1179457764456
FDR31,OUT010,784.9911501905583
DRK49,OUT018,845.2618347100456
NCI30,OUT010,2248.096521722666
DRD60,OUT017,2796.1286709672677
NCG19,OUT046,3709.7173094909167
FDH12,OUT035,1680.4222774198695
FDM32,OUT035,1129.6646526275626
FDM27,OUT035,2236.811732700925
NCU53,OUT027,4018.3763775565585
NCQ18,OUT046,1718.5384995410461
FDS10,OUT013,2570.9592563561537
FDB33,OUT027,4117.440657048057
FDI12,OUT013,1201.5266781739363
NCW42,OUT013,3322.8374029267025
NCC06,OUT018,2402.405304553602
FDW02,OUT017,1809.8683244253568
NCD43,OUT017,1529.046809707217
FDM57,OUT018,1657.298377965613
FDA58,OUT017,3243.3762470743095
FDK56,OUT046,2747.6488541537656
FDP52,OUT045,3673.4688735780264
FDW20,OUT018,2089.7936163670934
FDS52,OUT049,1814.3834469851383
NCT29,OUT018,2184.9905199020386
NCL54,OUT013,2045.529963203564
FDC05,OUT045,3256.088395344712
FDF34,OUT035,3131.2176038939815
FDP03,OUT027,3496.438810721448
FDD32,OUT010,-369.7346521447695
FDZ10,OUT045,2020.5712900236435
FDZ40,OUT035,925.9405114845994
FDD51,OUT018,622.6826895928666
NCY30,OUT019,1459.6851511822365
FDP58,OUT017,3099.1869876597775
FDV49,OUT017,4065.237441882863
FDY24,OUT019,-942.4710509600698
NCO55,OUT017,1640.4651062151938
FDR13,OUT017,1902.6168477820763
FDS51,OUT017,801.2231207936873
FDP26,OUT045,1361.0544658783265
NCB54,OUT027,3566.513356304833
FDF32,OUT017,2600.0682063554314
FDN31,OUT018,3238.193146807139
DRM48,OUT017,477.49996515278144
FDN20,OUT049,2603.524264214192
DRL01,OUT046,3827.3150146654198
FDV56,OUT049,1878.9755568188466
DRH13,OUT027,3296.6598624079516
FDA03,OUT017,2080.4298756132425
FDF47,OUT027,4875.134980627472
FDX32,OUT046,2399.086540611659
FDX57,OUT049,1521.74434551589
NCA30,OUT045,2867.358440873719
FDO49,OUT013,640.1687785688193
FDL04,OUT019,199.69452293848272
DRM48,OUT035,554.2411165312949
FDR16,OUT013,3111.431720627267
NCC19,OUT018,3166.3765874697547
NCE42,OUT045,3651.2720444343777
FDY24,OUT017,586.2131431265697
FDH19,OUT049,2872.683247055713
FDJ46,OUT013,2324.6352626351036
FDN45,OUT010,1728.854150509644
FDY08,OUT035,2213.9207147206207
FDZ37,OUT035,1096.2703296791324
NCT30,OUT045,942.8752754641097
DRY23,OUT018,1033.4068454472285
NCZ30,OUT018,2180.9622467520694
FDC44,OUT018,1817.2576041395591
FDB45,OUT035,1637.025541977898
FDY04,OUT013,2552.275569694748
FDM27,OUT046,2591.223709523557
FDZ43,OUT017,3621.304257566332
FDT39,OUT019,1241.2986892976849
NCC06,OUT019,766.9294157941519
FDL15,OUT027,4015.6714645404663
FDL57,OUT017,3979.0655052625516
FDU08,OUT046,1701.5083899252197
FDK40,OUT017,3513.0585467770916
FDQ12,OUT010,2051.9820237180547
FDS48,OUT017,2090.7148274664496
FDP09,OUT045,3528.018932110246
FDW21,OUT049,1473.0140237920573
FDY25,OUT035,2488.774200544697
DRE13,OUT017,1404.1017946883487
FDV43,OUT019,-718.5873485377365
FDD22,OUT045,1849.2448362246962
FDM46,OUT019,83.1508532634366
NCO30,OUT010,1162.8288983310674
FDM25,OUT046,2958.109463872568
NCN41,OUT049,2110.107285048929
FDU24,OUT045,1240.503747951007
FDZ50,OUT046,3097.4401400369643
FDP45,OUT013,3932.302074952612
NCM54,OUT045,2049.0902437258947
FDW10,OUT019,973.1426114719317
FDP20,OUT017,1805.0305777512606
FDK32,OUT046,2496.8385565731696
FDN52,OUT049,1493.7668069600652
FDM58,OUT045,1813.655750146841
FDZ46,OUT027,3159.1019919543014
NCA18,OUT018,2128.3814311422448
FDD35,OUT046,1841.9087271720189
NCK31,OUT035,853.7096361963279
FDI40,OUT027,3125.322339128751
FDT50,OUT019,63.84219187202655
NCT06,OUT046,2657.8016590531915
FDT31,OUT035,3008.806191111892
FDT45,OUT049,785.7240868594108
FDT13,OUT045,2928.912520406584
FDO50,OUT045,1181.7815302654058
NCU18,OUT010,646.7770613405162
NCR54,OUT049,2968.43694827305
NCO18,OUT018,3180.8140157607013
FDU09,OUT045,1086.1962539598185
FDT13,OUT018,3104.8224214564816
FDE09,OUT046,1978.84152903298
NCK53,OUT019,141.25252444590083
FDG45,OUT049,3308.892767525177
DRH15,OUT035,535.1178995285194
FDO21,OUT019,2245.0221295299707
FDD14,OUT027,4394.4168045098
FDC09,OUT046,1932.7723777229528
FDH45,OUT027,2248.2547942777915
FDV32,OUT046,1252.8677263657523
FDG12,OUT035,1393.7131467721633
FDS32,OUT013,2149.1157486547413
NCL55,OUT018,3845.2122694706777
DRE01,OUT035,3717.8013514759923
DRE15,OUT049,1188.543995312877
NCL42,OUT045,3867.414460668155
FDP31,OUT013,802.1498465465934
FDN33,OUT018,1673.4748784802043
FDZ59,OUT046,2919.5872707275603
FDE45,OUT010,1044.4490451206505
FDJ07,OUT013,1659.564257378404
FDQ45,OUT018,2946.627958633818
FDM33,OUT027,4771.95499116029
FDO15,OUT010,-240.83176927116244
FDM46,OUT013,1394.0703518821174
FDR03,OUT045,3101.8517202018174
FDY49,OUT018,2993.487343102336
FDQ60,OUT045,2023.6593881325123
FDW10,OUT049,2738.906910936059
FDO51,OUT049,733.0439731303757
FDJ40,OUT018,1957.6511341756227
FDS20,OUT018,3042.124438186518
FDU45,OUT013,1845.1575496012274
FDV02,OUT035,2499.522134965023
FDN09,OUT046,3860.1657621566783
NCM55,OUT027,4425.829054621945
FDN23,OUT018,2502.084310871206
FDY31,OUT010,747.2985301206268
FDW03,OUT010,229.89849486616214
FDD14,OUT046,3084.349364772369
FDV23,OUT017,1695.7982173967882
DRI03,OUT045,2741.3888808741112
FDN13,OUT035,1457.963472022348
FDF45,OUT027,2455.0097394016093
FDU46,OUT035,1436.3079103264936
FDB57,OUT049,3666.6807651366516
FDV12,OUT049,1616.9554701129305
FDQ58,OUT013,1789.2208292501139
NCA18,OUT017,1721.9827877578018
FDH52,OUT049,1044.6884386060087
FDM24,OUT018,2526.8279783299267
NCP43,OUT027,4376.210744066494
NCO18,OUT019,1548.2176062253711
FDM32,OUT017,1062.45807955146
NCL07,OUT017,376.31348877055973
FDK03,OUT013,3919.127762174241
FDP59,OUT017,1645.4502034565132
FDQ24,OUT049,3897.4902648962698
FDQ16,OUT018,2029.7630853791522
FDU44,OUT013,2506.839740639015
FDH28,OUT010,-1156.7397403414195
FDV28,OUT019,-1252.3603395359878
FDM22,OUT045,1003.305497446896
FDR56,OUT046,3312.229449960344
FDV39,OUT049,2925.144587282268
FDU37,OUT019,-386.3009499575044
FDQ11,OUT010,3244.472604458442
FDX02,OUT045,3502.2664824953454
NCS42,OUT018,1750.678985234481
FDY57,OUT027,2911.004919325449
FDB21,OUT049,3668.4656451833353
FDE28,OUT017,3294.764181101763
FDQ55,OUT017,1667.3178886720386
FDA48,OUT049,3432.5175051015285
FDZ19,OUT045,2829.263650115233
NCC43,OUT045,3881.569655935824
NCV18,OUT046,1495.5226180850311
NCA42,OUT018,2432.1324760464067
FDY45,OUT046,3875.589734318638
NCC30,OUT045,2929.2393807621092
FDM57,OUT013,1326.9098497724967
FDL09,OUT010,1015.9765448116781
FDB09,OUT027,3580.8160253613387
FDT44,OUT035,1683.187845030442
NCT06,OUT027,3948.3568458017944
FDX26,OUT049,2899.369808192515
FDK32,OUT013,2224.5622506523496
DRA12,OUT046,2147.5476018662507
FDO46,OUT010,1084.8885532086902
FDE52,OUT013,1047.6246530233761
NCH42,OUT045,3814.342021701381
FDV08,OUT035,124.57055072219242
FDB47,OUT018,3576.028917820163
FDC28,OUT010,-515.9082454662918
FDD22,OUT046,1986.0649030505167
FDS07,OUT027,2982.5133887576303
DRI13,OUT045,3464.867011055596
FDG32,OUT018,3685.350197733349
FDU14,OUT017,3655.204639607133
FDD28,OUT019,-1068.6420686187107
NCP41,OUT017,1730.03814131962
FDS08,OUT049,2936.2862392001443
FDX47,OUT045,2753.4941283143553
FDC53,OUT019,403.041491111937
FDQ19,OUT035,3663.421949250316
FDL14,OUT045,2712.716183540134
FDM33,OUT019,1752.7539944479017
FDA51,OUT045,1775.7255145568365
FDZ27,OUT018,808.1580702792244
FDT04,OUT046,523.6285077378641
DRC13,OUT049,1857.00761452384
FDR16,OUT027,4750.499241612643
FDQ03,OUT027,5052.062690950194
FDE38,OUT035,2615.5003588903264
DRH23,OUT027,2337.4547385152873
FDT11,OUT019,1789.7711198789461
FDD09,OUT035,2635.3511243542407
FDR40,OUT045,1410.66640126359
FDX07,OUT017,2303.4214494517823
FDR07,OUT035,1547.799884347118
FDA51,OUT017,1572.706245513266
FDT59,OUT019,2176.9530753983327
FDF20,OUT017,3055.276571508888
FDR13,OUT045,2092.165212477952
FDY26,OUT049,3457.6485072580163
FDW04,OUT017,1677.6191689669652
FDK52,OUT017,3222.979693572396
FDN60,OUT049,2546.279012320264
FDM09,OUT019,1446.4901061366793
FDP46,OUT049,1123.6051983370435
FDB50,OUT019,-251.56171860696486
NCQ29,OUT049,4055.8634901824807
FDP16,OUT027,5360.906910269943
FDX33,OUT018,2723.006150727654
FDP07,OUT010,2215.0916699869326
FDN22,OUT046,3812.0086107404086
FDF39,OUT049,4166.383729778834
FDS21,OUT017,1029.5749783362648
NCM42,OUT013,1632.094796333054
FDK50,OUT019,945.6790295339473
DRF13,OUT027,3736.5716547086795
FDH35,OUT018,2684.7650845596318
FDP60,OUT018,1238.5202049815334
DRJ49,OUT027,3321.3998290481677
NCT42,OUT019,993.1541859955922
FDE38,OUT049,2758.108120461906
FDI04,OUT049,3337.681718554343
NCH54,OUT045,2676.024331569687
FDT56,OUT049,1135.5206330349147
DRD15,OUT018,4041.774776270887
FDV58,OUT013,2790.3111127714355
FDP21,OUT049,3201.761594513854
FDH05,OUT013,3587.188837299771
FDR10,OUT027,4084.2432889782376
NCP06,OUT045,2459.611498449277
FDF33,OUT049,1650.5870472302374
DRK37,OUT013,2822.791770986042
DRH49,OUT045,1401.3687623540118
FDT58,OUT013,2527.5077269941457
FDD41,OUT018,1867.6575681459653
FDP40,OUT018,2121.7190581415516
FDM51,OUT027,3062.5526513009454
FDO45,OUT010,-248.5947653329588
FDW33,OUT010,-66.56189531082401
FDY24,OUT045,894.0131899791394
FDB10,OUT010,1717.300107228603
FDM40,OUT035,1943.5288999026507
NCI06,OUT017,2817.9711047981837
FDW12,OUT019,868.1459639500144
FDX48,OUT027,4099.283400834324
NCW05,OUT027,3124.2392908017555
FDX27,OUT017,1242.5821340777302
DRM37,OUT045,3178.848315660006
FDA38,OUT045,4008.134499278276
FDR36,OUT046,886.810275267251
FDZ45,OUT046,3281.8397311812014
FDG05,OUT017,2094.705711898685
FDK28,OUT013,3959.4571008438543
FDV47,OUT045,1322.4378412673047
FDN21,OUT045,2467.529776876203
FDP20,OUT027,3416.4284008222703
FDI35,OUT045,2868.740158939232
DRY23,OUT013,687.6338932067654
FDA56,OUT017,1872.2349660675743
FDB09,OUT013,1955.3391933722032
NCO26,OUT027,3352.5206368312583
FDQ49,OUT018,2760.4371534093316
FDI52,OUT027,3298.6736259865966
FDZ44,OUT027,3473.3128413577833
FDZ09,OUT018,2822.4828158436067
FDY03,OUT049,2004.2684732450143
NCG42,OUT017,1774.9223824222597
DRI13,OUT027,4885.848860956248
FDQ32,OUT013,1966.104009701395
FDW16,OUT035,1543.3511590577132
FDU27,OUT046,779.2544948329297
FDR28,OUT010,951.3726789212237
FDQ49,OUT010,780.3013612387186
FDS37,OUT046,2077.533623599058
FDW26,OUT018,3838.318565005555
FDX12,OUT018,3757.9836205885294
NCP06,OUT013,2282.0525556501475
FDW45,OUT010,600.4176230182924
NCN30,OUT049,1614.4780969370026
FDN24,OUT049,919.7231614559265
NCL41,OUT027,2073.391668637532
FDR02,OUT019,516.360387676161
FDD09,OUT010,907.87159710226
FDS33,OUT010,575.6811227195868
FDU22,OUT045,1823.6442162402777
FDI53,OUT013,2310.7192272319157
DRH01,OUT049,2866.0357092323175
FDX32,OUT013,2041.53571294773
NCP30,OUT018,827.8381156500645
FDB60,OUT045,3293.4734897275266
FDB14,OUT049,1433.5597265607528
NCP02,OUT035,977.8309922324453
FDJ10,OUT017,2199.1098902842077
FDG34,OUT046,1931.958662798099
NCB18,OUT017,1370.6438223844277
FDM16,OUT049,1254.813470717078
FDW25,OUT018,1643.8556132430695
FDB35,OUT010,-65.52941513650097
DRN11,OUT013,2023.8222744783836
FDF41,OUT019,2528.0782468511243
FDH16,OUT045,1519.0511904369846
NCQ50,OUT018,3289.3808562615386
DRH23,OUT018,1104.3969613877248
DRJ37,OUT013,2232.880994913642
DRJ24,OUT027,4492.426025866518
FDY16,OUT035,2500.5065075215407
FDQ27,OUT045,1703.3962273546417
FDZ33,OUT045,2269.252362539995
FDF29,OUT045,2264.480354119156
FDA08,OUT049,2573.322931901819
FDG31,OUT046,1168.7387044579348
FDE34,OUT019,2431.411655026366
NCR30,OUT027,2621.5214615982313
FDV33,OUT035,3965.853617311014
DRZ24,OUT018,2111.808864340095
NCL54,OUT035,2034.7625130650708
FDR12,OUT049,2970.885112942411
NCC54,OUT046,4042.2608200821105
DRN59,OUT013,585.115293032532
FDX50,OUT019,455.20234084084603
FDV31,OUT027,4119.070438447207
NCA29,OUT027,4202.204220524257
FDW60,OUT049,2861.793384483037
FDX08,OUT017,2867.303261084804
DRD49,OUT013,3464.0139305798384
FDD33,OUT046,3429.269611732624
FDW35,OUT013,651.5671273697146
FDJ36,OUT017,1524.028383721129
FDV51,OUT035,2580.2754159107953
FDW36,OUT046,1915.370664805961
FDH35,OUT046,2641.3967548439678
NCS30,OUT027,3389.3735589309717
FDN49,OUT017,519.9524092848287
FDL08,OUT018,3813.511102408889
FDI09,OUT013,3339.9025897097836
FDP19,OUT018,1864.674558978714
FDU21,OUT010,-983.36311737902
NCP41,OUT045,1918.0010093108783
FDY10,OUT013,1705.840755633834
FDP12,OUT018,840.9681899547235
NCN26,OUT049,1577.618022808744
FDK44,OUT013,2450.1486207898442
FDC28,OUT049,1488.4861586227225
FDJ41,OUT027,5747.724013758327
NCT29,OUT035,1912.3866104358053
NCH42,OUT019,2345.129308819263
FDU60,OUT018,2788.076834664982
FDS02,OUT045,2781.3034497962917
FDC51,OUT046,2092.4224306150327
FDU03,OUT013,2639.9707661269777
FDX39,OUT045,3490.037253677825
NCY05,OUT010,-1086.259638936013
NCL06,OUT027,5559.166802597128
FDD32,OUT035,1180.6744409075613
NCN41,OUT045,2124.439372182618
NCX53,OUT049,2176.619622327924
FDU57,OUT019,1119.2199220623133
FDQ23,OUT046,1907.77573687688
FDQ52,OUT045,3955.154614222336
FDC14,OUT045,789.9314544021533
FDY09,OUT035,2703.9383040383027
FDQ28,OUT045,2579.8489140500124
FDV25,OUT046,3546.168117961791
FDJ07,OUT035,1663.078184175589
DRB25,OUT049,1885.8373355766369
FDK52,OUT019,1740.9525298366225
FDY52,OUT027,2374.2341197336937
FDB28,OUT046,3298.8978042873377
FDT36,OUT035,165.52255877832414
FDV25,OUT017,3238.8465462287977
NCN07,OUT027,3658.042686060732
FDC57,OUT017,3059.318851022259
FDQ03,OUT018,3824.4529178479197
FDU23,OUT017,2382.8409424615616
NCX41,OUT035,3152.892192007901
NCD06,OUT035,680.8480944216287
FDW08,OUT045,1406.204090785679
NCU29,OUT017,2284.1879355726733
NCE06,OUT013,2502.378378134842
FDV52,OUT010,51.61542034152973
FDB02,OUT017,2642.1233229650006
NCR18,OUT045,721.4200944201486
FDK16,OUT049,1450.9404543717324
NCQ29,OUT010,2201.4459966882305
FDZ01,OUT019,538.3303995197673
FDW27,OUT035,2263.7272356457765
FDD17,OUT018,3985.224492934176
FDW39,OUT013,2216.765917502158
DRH59,OUT045,1145.179353856172
FDS52,OUT013,1652.4113982676672
FDU40,OUT027,4665.55359811826
NCF54,OUT013,2717.9299388135587
FDH46,OUT045,1815.7785074492645
NCP14,OUT049,1693.7081905884163
FDH50,OUT049,2886.971187096864
DRF15,OUT010,698.2934703011404
FDV27,OUT027,3103.1831674392524
NCJ06,OUT049,2078.082048454534
FDN02,OUT018,3484.5745494157372
FDQ51,OUT049,554.0321601142468
FDQ07,OUT017,3424.0223527273156
FDS45,OUT049,1930.9756671110163
NCJ06,OUT045,2109.480003423567
FDD36,OUT035,1829.837627905158
FDY25,OUT045,2671.32256990743
FDU52,OUT046,2510.2481490045093
DRK47,OUT017,3485.375109259083
NCL30,OUT017,1805.195979696777
FDN22,OUT035,3557.236289403595
NCF30,OUT027,3524.8026185158833
